State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,744101,1622,0.27692979039997995
andaman-&-nicobar-islands,2018,1,744103,1223,0.22380418716124698
andaman-&-nicobar-islands,2018,1,744102,969,0.3519059937562449
andaman-&-nicobar-islands,2018,1,744105,685,0.1298560951550353
andaman-&-nicobar-islands,2018,1,744104,340,0.10397153111450541
andaman-&-nicobar-islands,2018,1,744107,302,0.055605953085563445
andaman-&-nicobar-islands,2018,1,744301,283,0.04457391633851439
andaman-&-nicobar-islands,2018,1,744112,269,0.033370956700413956
andaman-&-nicobar-islands,2018,1,744202,193,0.023891401667155625
andaman-&-nicobar-islands,2018,1,744302,168,0.05474696509380838
andaman-&-nicobar-islands,2018,2,744101,2701,0.6310089917084678
andaman-&-nicobar-islands,2018,2,744103,1965,0.47521466985011623
andaman-&-nicobar-islands,2018,2,744102,1525,0.581026757478832
andaman-&-nicobar-islands,2018,2,744105,997,0.22003329718627337
andaman-&-nicobar-islands,2018,2,744301,767,0.19537493787199225
andaman-&-nicobar-islands,2018,2,744104,659,0.16503461906506256
andaman-&-nicobar-islands,2018,2,744107,594,0.16015699821441037
andaman-&-nicobar-islands,2018,2,744112,432,0.05788291795229593
andaman-&-nicobar-islands,2018,2,744202,405,0.06265239803147907
andaman-&-nicobar-islands,2018,2,744302,291,0.10265900735863491
andaman-&-nicobar-islands,2018,3,744101,3462,1.0833893444488765
andaman-&-nicobar-islands,2018,3,744103,3182,1.0184154358592123
andaman-&-nicobar-islands,2018,3,744102,2224,1.0365275479700704
andaman-&-nicobar-islands,2018,3,744105,1613,0.5152534080403434
andaman-&-nicobar-islands,2018,3,744104,1029,0.25880776866583927
andaman-&-nicobar-islands,2018,3,744301,975,0.4256576349618757
andaman-&-nicobar-islands,2018,3,744112,579,0.11458157801705199
andaman-&-nicobar-islands,2018,3,744107,547,0.1492405302862124
andaman-&-nicobar-islands,2018,3,744302,417,0.19767819199490355
andaman-&-nicobar-islands,2018,3,744202,341,0.20994040789861115
andaman-&-nicobar-islands,2018,4,744101,4674,1.6392855280625318
andaman-&-nicobar-islands,2018,4,744103,4576,1.7022520257624767
andaman-&-nicobar-islands,2018,4,744102,3306,1.7019977183053623
andaman-&-nicobar-islands,2018,4,744105,2513,0.9935282832151462
andaman-&-nicobar-islands,2018,4,744104,1432,0.6091757917089159
andaman-&-nicobar-islands,2018,4,744211,1225,0.3451359606027063
andaman-&-nicobar-islands,2018,4,744301,928,0.4606293657525641
andaman-&-nicobar-islands,2018,4,744112,759,0.22086750435713645
andaman-&-nicobar-islands,2018,4,744107,747,0.18256595128978956
andaman-&-nicobar-islands,2018,4,744202,702,0.37970541677634423
andaman-&-nicobar-islands,2019,1,744103,5742,1.940196477965755
andaman-&-nicobar-islands,2019,1,744101,5156,1.550130622719592
andaman-&-nicobar-islands,2019,1,744102,3925,1.6683547094795756
andaman-&-nicobar-islands,2019,1,744105,3553,1.158866948032856
andaman-&-nicobar-islands,2019,1,744104,2833,0.9141657219605077
andaman-&-nicobar-islands,2019,1,744211,1511,0.5794838401831552
andaman-&-nicobar-islands,2019,1,744202,1112,0.3613381294736007
andaman-&-nicobar-islands,2019,1,744107,1029,0.35929302975779254
andaman-&-nicobar-islands,2019,1,744301,920,0.46529634111477697
andaman-&-nicobar-islands,2019,1,744112,802,0.18937186537822198
andaman-&-nicobar-islands,2019,2,744104,6142,1.5625676560883244
andaman-&-nicobar-islands,2019,2,744103,5847,2.375145006720698
andaman-&-nicobar-islands,2019,2,744101,4863,1.906112541121897
andaman-&-nicobar-islands,2019,2,744102,4120,1.8948733987097777
andaman-&-nicobar-islands,2019,2,744105,3500,1.3418692199162652
andaman-&-nicobar-islands,2019,2,744202,1153,0.36199933910789256
andaman-&-nicobar-islands,2019,2,744107,1124,0.29674453902032816
andaman-&-nicobar-islands,2019,2,744211,1047,0.31683319917352104
andaman-&-nicobar-islands,2019,2,744301,1007,0.484928451925976
andaman-&-nicobar-islands,2019,2,744112,763,0.2928099608406143
andaman-&-nicobar-islands,2019,3,744103,5680,1.9906337014255584
andaman-&-nicobar-islands,2019,3,744101,5606,1.8745152093515633
andaman-&-nicobar-islands,2019,3,744104,4786,1.5754793354826455
andaman-&-nicobar-islands,2019,3,744102,3643,1.4572605602745283
andaman-&-nicobar-islands,2019,3,744105,3512,1.176722399688773
andaman-&-nicobar-islands,2019,3,744202,1417,0.38756020982028744
andaman-&-nicobar-islands,2019,3,744301,1402,0.6195496621729916
andaman-&-nicobar-islands,2019,3,744211,1118,0.2983697449378184
andaman-&-nicobar-islands,2019,3,744107,914,0.19882997597109872
andaman-&-nicobar-islands,2019,3,744112,833,0.21988316919406195
andaman-&-nicobar-islands,2019,4,744104,6633,2.062664270150852
andaman-&-nicobar-islands,2019,4,744101,5282,2.324775247384906
andaman-&-nicobar-islands,2019,4,744103,4840,1.9792507955761045
andaman-&-nicobar-islands,2019,4,744105,3528,1.5302141174880262
andaman-&-nicobar-islands,2019,4,744102,3237,1.535044497320769
andaman-&-nicobar-islands,2019,4,744202,1783,0.5800016556112886
andaman-&-nicobar-islands,2019,4,744211,1596,0.7908264721918669
andaman-&-nicobar-islands,2019,4,744301,1549,0.7056478928838715
andaman-&-nicobar-islands,2019,4,744201,886,0.09467680636478987
andaman-&-nicobar-islands,2019,4,744107,777,0.3030368911900454
andaman-&-nicobar-islands,2020,1,744101,11793,5.822934902415232
andaman-&-nicobar-islands,2020,1,744103,5870,2.2009443073053974
andaman-&-nicobar-islands,2020,1,744105,4635,1.6774043311987936
andaman-&-nicobar-islands,2020,1,744102,3820,1.4517706122696759
andaman-&-nicobar-islands,2020,1,744211,1837,0.8425387790042109
andaman-&-nicobar-islands,2020,1,744301,1819,0.6901162107519586
andaman-&-nicobar-islands,2020,1,744202,1794,0.5037742395579022
andaman-&-nicobar-islands,2020,1,744104,1302,0.5293130290633954
andaman-&-nicobar-islands,2020,1,744201,1157,0.12426388212529321
andaman-&-nicobar-islands,2020,1,744107,1043,0.29903544448547476
andaman-&-nicobar-islands,2020,2,744101,11868,4.829332321851965
andaman-&-nicobar-islands,2020,2,744103,10035,2.619753598945152
andaman-&-nicobar-islands,2020,2,744105,9341,2.3203019858980607
andaman-&-nicobar-islands,2020,2,744102,6012,1.7786750907515876
andaman-&-nicobar-islands,2020,2,744202,3722,0.8924121010762567
andaman-&-nicobar-islands,2020,2,744107,2555,0.39804706853698146
andaman-&-nicobar-islands,2020,2,744301,2275,0.9055232527755566
andaman-&-nicobar-islands,2020,2,744211,2045,0.33197176328789735
andaman-&-nicobar-islands,2020,2,744205,1847,0.445906490732021
andaman-&-nicobar-islands,2020,2,744104,1840,0.3334591822304932
andaman-&-nicobar-islands,2020,3,744101,24386,10.043911966860783
andaman-&-nicobar-islands,2020,3,744103,21272,6.033227869396809
andaman-&-nicobar-islands,2020,3,744105,17166,4.4061506562735895
andaman-&-nicobar-islands,2020,3,744102,13934,4.3077189842844135
andaman-&-nicobar-islands,2020,3,744202,5779,1.1975748707876923
andaman-&-nicobar-islands,2020,3,744107,4753,0.7628018669464628
andaman-&-nicobar-islands,2020,3,744104,3468,0.7353834513209351
andaman-&-nicobar-islands,2020,3,744112,3422,0.6067986696111793
andaman-&-nicobar-islands,2020,3,744301,3071,1.33526105315597
andaman-&-nicobar-islands,2020,3,744205,2991,0.7535645788593667
andaman-&-nicobar-islands,2020,4,744103,46884,13.82647915489212
andaman-&-nicobar-islands,2020,4,744101,40392,13.640136802166596
andaman-&-nicobar-islands,2020,4,744105,34410,8.783822693633425
andaman-&-nicobar-islands,2020,4,744102,26694,7.634859832238364
andaman-&-nicobar-islands,2020,4,744202,10949,2.554379907475997
andaman-&-nicobar-islands,2020,4,744107,9743,1.808325019055397
andaman-&-nicobar-islands,2020,4,744104,7654,1.9126095533284884
andaman-&-nicobar-islands,2020,4,744112,7016,1.5890275050448488
andaman-&-nicobar-islands,2020,4,744205,5118,1.2002695281042248
andaman-&-nicobar-islands,2020,4,744201,5011,0.6777275536669218
andaman-&-nicobar-islands,2021,1,744101,55726,19.083095706061812
andaman-&-nicobar-islands,2021,1,744103,47328,15.840410078549889
andaman-&-nicobar-islands,2021,1,744105,35467,11.157168743195168
andaman-&-nicobar-islands,2021,1,744102,23957,8.07500488238959
andaman-&-nicobar-islands,2021,1,744211,10648,3.495632794105429
andaman-&-nicobar-islands,2021,1,744202,10597,2.8127629877961584
andaman-&-nicobar-islands,2021,1,744107,8848,1.9627951469969154
andaman-&-nicobar-islands,2021,1,744104,8799,2.785430651949638
andaman-&-nicobar-islands,2021,1,744112,7113,2.10847900528014
andaman-&-nicobar-islands,2021,1,744301,5630,2.2671937313147588
andaman-&-nicobar-islands,2021,2,744101,73334,22.75854927414593
andaman-&-nicobar-islands,2021,2,744103,66321,17.475281516885207
andaman-&-nicobar-islands,2021,2,744105,52645,13.483574422049244
andaman-&-nicobar-islands,2021,2,744102,34289,10.089042676234055
andaman-&-nicobar-islands,2021,2,744202,16476,4.064790796960775
andaman-&-nicobar-islands,2021,2,744107,14524,2.4690581539094776
andaman-&-nicobar-islands,2021,2,744104,11278,2.833385206159348
andaman-&-nicobar-islands,2021,2,744211,10182,2.037794934609453
andaman-&-nicobar-islands,2021,2,744112,9635,2.1637658167199603
andaman-&-nicobar-islands,2021,2,744301,8463,2.766683739688266
andaman-&-nicobar-islands,2021,3,744101,116324,38.83281687639693
andaman-&-nicobar-islands,2021,3,744103,84790,24.64333858099007
andaman-&-nicobar-islands,2021,3,744105,67257,18.52383684767078
andaman-&-nicobar-islands,2021,3,744102,43850,13.123956416909728
andaman-&-nicobar-islands,2021,3,744202,19088,4.847516357429314
andaman-&-nicobar-islands,2021,3,744107,16203,3.7962312096410087
andaman-&-nicobar-islands,2021,3,744104,14657,3.5301326114471876
andaman-&-nicobar-islands,2021,3,744112,11565,2.849155361094001
andaman-&-nicobar-islands,2021,3,744301,11553,4.3464511051198
andaman-&-nicobar-islands,2021,3,744211,9655,1.9497765257140518
andaman-&-nicobar-islands,2021,4,744101,165719,53.30262079731797
andaman-&-nicobar-islands,2021,4,744103,121613,37.224373427985654
andaman-&-nicobar-islands,2021,4,744105,95028,28.122341174350577
andaman-&-nicobar-islands,2021,4,744102,58258,17.462325347653326
andaman-&-nicobar-islands,2021,4,744211,27938,9.422286210725295
andaman-&-nicobar-islands,2021,4,744104,25662,6.924538608165251
andaman-&-nicobar-islands,2021,4,744202,21913,6.779079804849822
andaman-&-nicobar-islands,2021,4,744107,21397,5.20360299980372
andaman-&-nicobar-islands,2021,4,744112,18915,5.544854343365714
andaman-&-nicobar-islands,2021,4,744301,14553,4.779233070050094
andaman-&-nicobar-islands,2022,1,744101,209941,61.597808069448554
andaman-&-nicobar-islands,2022,1,744103,157230,39.97159801391735
andaman-&-nicobar-islands,2022,1,744105,122716,32.18506087396423
andaman-&-nicobar-islands,2022,1,744102,74883,19.333654994178737
andaman-&-nicobar-islands,2022,1,744104,32471,7.291552183614868
andaman-&-nicobar-islands,2022,1,744211,30272,8.695557058655272
andaman-&-nicobar-islands,2022,1,744107,25379,5.877672762636636
andaman-&-nicobar-islands,2022,1,744202,24022,6.851926877643084
andaman-&-nicobar-islands,2022,1,744112,23471,5.54697836622991
andaman-&-nicobar-islands,2022,1,744301,17630,5.687999228461884
andaman-&-nicobar-islands,2022,2,744101,252722,70.21223653629664
andaman-&-nicobar-islands,2022,2,744103,230746,56.11687755622396
andaman-&-nicobar-islands,2022,2,744105,176252,41.57965166034926
andaman-&-nicobar-islands,2022,2,744102,101551,24.0451609192299
andaman-&-nicobar-islands,2022,2,744104,47069,9.433535834017952
andaman-&-nicobar-islands,2022,2,744211,40245,10.878859462847155
andaman-&-nicobar-islands,2022,2,744107,36402,8.285106458195859
andaman-&-nicobar-islands,2022,2,744112,32548,7.017830912885833
andaman-&-nicobar-islands,2022,2,744202,27750,8.45879788405464
andaman-&-nicobar-islands,2022,2,744301,26170,7.448546268044695
andaman-&-nicobar-islands,2022,3,744104,497273,95.13703154090764
